attraction_id,name,country,province,city,location,price,rating
2082,quebec_city_private_walking_tour_-_the_history_of_quebec_and_canada,canada,quebec,quebec_city,"{'lat': 46.7561139, 'lng': -71.1790215}",130.0,-1.0
2083,ultimate_jasper_-_interpretive_nature_walk,canada,alberta,canadian_rockies,"{'lat': 52.8780879, 'lng': -118.0799308}",72.45,5.0
2084,seaplane_flight_to_victoria_and_whale-watching_cruise,canada,british_columbia,vancouver,"{'lat': 48.4241277, 'lng': -123.3707833}",469.0,5.0
2085,victoria_whale_and_wildlife_cruise,canada,british_columbia,vancouver_island,"{'lat': 48.4225678, 'lng': -123.3824385}",151.2,5.0
2086,whale-watching_tour_from_vancouver,canada,british_columbia,vancouver,"{'lat': 49.12451, 'lng': -123.1840089}",138.5,4.5
2087,niagara_falls_open-top_jet-boat_ride,canada,ontario,niagara_falls,"{'lat': 43.149939, 'lng': -79.0463155}",79.04,5.0
2088,ultimate_day_tour_to_victoria,canada,british_columbia,vancouver,"{'lat': 48.4227209, 'lng': -123.3689786}",363.56,4.5
2089,kicking_horse_river_whitewater_rafting,canada,alberta,canadian_rockies,"{'lat': 51.1772837, 'lng': -115.5727351}",159.6,5.0
2090,riverside_rafting_on_clearwater_river_in_wells_gray_park,canada,british_columbia,things_to_do_in_clearwater,"{'lat': 51.6454766, 'lng': -120.0717665}",104.0,5.0
2091,wild_current_canoe_adventure_at_pyramid_lake,canada,alberta,canadian_rockies,"{'lat': 52.872151, 'lng': -118.079427}",120.0,5.0
2092,1.5-hour_banff_national_park_canoe_tour,canada,alberta,canadian_rockies,"{'lat': 51.1772837, 'lng': -115.5727351}",56.7,4.5
2093,victoria_whale_watch_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4255917, 'lng': -123.3695807}",114.45,4.5
2094,athabasca_river_canyon_morning_run,canada,alberta,canadian_rockies,"{'lat': 52.8751383, 'lng': -118.0807898}",93.45,5.0
2095,jasper_rafting_athabasca_canyon_run,canada,alberta,canadian_rockies,"{'lat': 52.8753421, 'lng': -118.0806243}",93.45,4.5
2096,whistler_white-water_rafting,canada,british_columbia,whistler,"{'lat': 50.1129838, 'lng': -122.9549289}",103.95,4.0
2097,"whales,_trails_and_island_delights_tour",canada,british_columbia,things_to_do_in_pender_island,"{'lat': 48.8002755, 'lng': -123.3109432}",141.75,-1.0
2098,sea_to_sky_tour,canada,british_columbia,things_to_do_in_pender_island,"{'lat': 48.8002755, 'lng': -123.3109432}",99.75,-1.0
2099,tall_ship_silva_deckhand_for_a_day,canada,nova_scotia,halifax_region,"{'lat': 44.663465, 'lng': -63.6241384}",22.99,-1.0
2100,"vip_whale_watching,_basilica_by_private_car_tour",canada,quebec,quebec_city,nil,216.75,-1.0
2101,camping_in_ontario's_most_beautiful_location,canada,ontario,things_to_do_in_haliburton,nil,150.0,-1.0
2102,become_a_voyageur_-_canoe_tour,canada,alberta,things_to_do_in_kananaskis_country,"{'lat': 50.9183584, 'lng': -115.147942}",49.0,-1.0
